date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:27	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:28%20GMT	https://www.SwiftEdgeCapita.com/service-details.html	C:/webby/sage1/www.SwiftEdgeCapita.com/service-details.html	(from https://www.SwiftEdgeCapita.com/)
23:48:27	786/786	---M-Z	200	added ('OK')	image/svg+xml	etag:%22312-678b20ea-c714639a7e61cf59;gz%22	https://www.SwiftEdgeCapita.com/assets/images/icon/check.svg	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/icon/check.svg	(from https://www.SwiftEdgeCapita.com/)
23:48:28	8116/8116	---M--	200	added ('OK')	image/png	etag:%221fb4-678b20ea-2a926deb092590a5;;;%22	https://www.SwiftEdgeCapita.com/assets/images/icon/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/icon/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:28	30356/30356	---M--	200	added ('OK')	image/png	etag:%227694-678b20ea-6d13f0e1ad8bc5d4;;;%22	https://www.SwiftEdgeCapita.com/assets/images/about/home3/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/about/home3/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:28	7176/7176	---M--	200	added ('OK')	image/png	etag:%221c08-678b20ea-38d0210467868125;;;%22	https://www.SwiftEdgeCapita.com/assets/images/about/home3/5.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/about/home3/5.png	(from https://www.SwiftEdgeCapita.com/)
23:48:29	4821/4821	---M--	200	added ('OK')	image/png	etag:%2212d5-678b20ea-f31bf46ce0194115;;;%22	https://www.SwiftEdgeCapita.com/assets/images/banner/home3/2.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/banner/home3/2.png	(from https://www.SwiftEdgeCapita.com/)
23:48:29	690/690	---M--	200	added ('OK')	image/png	etag:%222b2-678b20ea-6b7847f38c94de24;;;%22	https://www.SwiftEdgeCapita.com/assets/images/about/home3/check.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/about/home3/check.png	(from https://www.SwiftEdgeCapita.com/)
23:48:30	38843/38843	---M--	200	added ('OK')	image/png	etag:%2297bb-678b20ea-fb7bcd1af2ad3114;;;%22	https://www.SwiftEdgeCapita.com/assets/images/about/home3/2.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/about/home3/2.png	(from https://www.SwiftEdgeCapita.com/)
23:48:31	29164/29164	---M--	200	added ('OK')	image/png	etag:%2271ec-678b20ea-337132cb610875b9;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:32	213346/213346	---M--	200	added ('OK')	image/png	etag:%2234162-678b20ea-e30387f07c40ac45;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/bg.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/bg.png	(from https://www.SwiftEdgeCapita.com/)
23:48:32	30729/30729	---M--	200	added ('OK')	image/png	etag:%227809-678b20ea-2b9dc0e1b76191e;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/2.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/2.png	(from https://www.SwiftEdgeCapita.com/)
23:48:32	29584/29584	---M--	200	added ('OK')	image/png	etag:%227390-678b20ea-b89bba26462af6c4;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/3.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/3.png	(from https://www.SwiftEdgeCapita.com/)
23:48:32	3052/3052	---M--	200	added ('OK')	image/png	etag:%22bec-678b20ea-76c2c38573d72081;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/4.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/4.png	(from https://www.SwiftEdgeCapita.com/)
23:48:33	3805/3805	---M--	200	added ('OK')	image/png	etag:%22edd-678b20ea-5f5bff2e209d5f8f;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/7.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/7.png	(from https://www.SwiftEdgeCapita.com/)
23:48:33	3565/3565	---M--	200	added ('OK')	image/png	etag:%22ded-678b20ea-d74c8798decc4f29;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/6.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/6.png	(from https://www.SwiftEdgeCapita.com/)
23:48:33	6327/6327	---M--	200	added ('OK')	image/png	etag:%2218b7-678b20ea-70ef77309b9bfd8d;;;%22	https://www.SwiftEdgeCapita.com/assets/images/feature/home3/5.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/feature/home3/5.png	(from https://www.SwiftEdgeCapita.com/)
23:48:33	11716/11716	---M--	200	added ('OK')	image/jpeg	etag:%222dc4-678b20ea-288ffb19ece3f4b2;;;%22	https://www.SwiftEdgeCapita.com/assets/images/bg/wave-platformbg.jpg	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/bg/wave-platformbg.jpg	(from https://www.SwiftEdgeCapita.com/)
23:48:34	47242/47242	---M--	200	added ('OK')	image/png	etag:%22b88a-678b20ea-8880d96ee9742aa4;;;%22	https://www.SwiftEdgeCapita.com/assets/images/bg/in-wave-mockup-5.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/bg/in-wave-mockup-5.png	(from https://www.SwiftEdgeCapita.com/)
23:48:34	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:35%20GMT	https://www.SwiftEdgeCapita.com/index-2.html	C:/webby/sage1/www.SwiftEdgeCapita.com/index-2.html	(from https://www.SwiftEdgeCapita.com/)
23:48:35	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2024%20Jan%202025%2022:48:35%20GMT	https://www.SwiftEdgeCapita.com/assets/images/testimonials/	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/testimonials/index.html	(from https://www.SwiftEdgeCapita.com/)
23:48:35	8056/8056	---M--	200	added ('OK')	image/png	etag:%221f78-678b24d0-41a67672d23c2640;;;%22	https://www.SwiftEdgeCapita.com/assets/images/logo/logo-dark.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/logo/logo-dark.png	(from https://www.SwiftEdgeCapita.com/)
23:48:35	28906/28906	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:36%20GMT	https://www.SwiftEdgeCapita.com/terms	C:/webby/sage1/www.SwiftEdgeCapita.com/terms.html	(from https://www.SwiftEdgeCapita.com/)
23:48:35	22775/22775	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:36%20GMT	https://www.SwiftEdgeCapita.com/privacy-policy	C:/webby/sage1/www.SwiftEdgeCapita.com/privacy-policy.html	(from https://www.SwiftEdgeCapita.com/)
23:48:36	36201/36201	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:36%20GMT	https://www.SwiftEdgeCapita.com/risk-disclosure	C:/webby/sage1/www.SwiftEdgeCapita.com/risk-disclosure.html	(from https://www.SwiftEdgeCapita.com/)
23:48:36	19306/19306	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:37%20GMT	https://www.SwiftEdgeCapita.com/stock-trading	C:/webby/sage1/www.SwiftEdgeCapita.com/stock-trading.html	(from https://www.SwiftEdgeCapita.com/)
23:48:36	16299/16299	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:37%20GMT	https://www.SwiftEdgeCapita.com/forex-trading	C:/webby/sage1/www.SwiftEdgeCapita.com/forex-trading.html	(from https://www.SwiftEdgeCapita.com/)
23:48:37	15934/15934	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2022:48:37%20GMT	https://www.SwiftEdgeCapita.com/crypto	C:/webby/sage1/www.SwiftEdgeCapita.com/crypto.html	(from https://www.SwiftEdgeCapita.com/)
23:48:37	3357/3357	---M--	200	added ('OK')	image/png	etag:%22d1d-678b20ea-6610c7bc87704307;;;%22	https://www.SwiftEdgeCapita.com/assets/images/footer/1.png	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/images/footer/1.png	(from https://www.SwiftEdgeCapita.com/)
23:48:38	88144/88144	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215850-678b20ea-5836eb0f5bb27029;gz%22	https://www.SwiftEdgeCapita.com/assets/js/jquery-3.4.1.min.js	C:/webby/sage1/www.SwiftEdgeCapita.com/assets/js/jquery-3.4.1.min.js	(from https://www.SwiftEdgeCapita.com/)
